NHIAREGION,NHIADISTRICT,FACILITYNAME,FACILITYTYPE,OWNERSHIP,INSURANCE,DEPOSITDATE,APPLICATIONCATEGORY,STATUS,RECNUMBER,APPLICATIONDATE,END_DATE
CENTRAL,ASSIN NORTH,ASSIN DOMPIM CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/1/2021,New Application,Approved Credential,CRANS-0210-2021-003,1/8/2021,11/30/2026
VOLTA,ADAKLU-ANYIGBE,HAVE CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/1/2021,Renewal,Approved Credential,VRADK-0410-2021-029,2/18/2021,9/30/2023
VOLTA,ADAKLU-ANYIGBE,ABLORNU CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/1/2021,Renewal,Approved Credential,VRADK-0410-2021-028,2/17/2021,3/1/2023
ASHANTI,SEKYERE WEST,ASUBUASU  HEALTH CENTRE,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/1/2021,Renewal,Approved Credential,ARSKW-0410-2021-026,2/27/2021,6/1/2023
SAVANNAH,BOLE DMHIS,BOLE DISTRICT HOSPITAL.,Primary Care Hospital,Public,National Health Insurance Scheme (NHIS) Only,3/2/2021,Renewal,Approved Credential,SVBOL-0403-2021-012,2/24/2021,5/31/2023
GT.ACCRA,GA,MAON MEDICAL CENTRE LIMITED,Clinic,Private,Private Health Insurance Scheme (PHIS) Only,3/2/2021,New Application,Approved Credential,GAGAD-0206-2020-167,12/21/2020,8/31/2026
ASHANTI,OFFINSOMAN,BONSUA HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,3/2/2021,Renewal,Approved Credential,AROSM-0404-2020-177,9/11/2020,2/28/2023
OTI,KRACHI WEST,ADONTENG-CEMENT CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/3/2021,Renewal,Approved Credential,OTKRW-0410-2021-013,2/16/2021,9/30/2023
OTI,KRACHI WEST,TWERESO CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/3/2021,Renewal,Pending Certificate,OTKRW-0410-2021-015,2/16/2021,2/28/2023
OTI,KRACHI WEST,DADEKRO CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/3/2021,New Application,Approved Credential,OTKRW-0210-2021-017,2/16/2021,8/31/2026
ASHANTI,SEKYERE EAST,"AKOKOASO HEALTH CENTRE,.",Health Center,Public,National Health Insurance Scheme (NHIS) Only,3/3/2021,Renewal,In Assessment,ARSKE-0404-2020-205,10/9/2020,3/31/2021
UP_WEST,JIRAPA-LAMB MHIS,"HAIN POLYCLINIC,JIRAPA",Polyclinic,Public,National Health Insurance Scheme (NHIS) Only,3/3/2021,Renewal,In Assessment,UWJPL-0419-2021-035,3/1/2021,2/28/2021
EASTERN,WEST AKIM,AKANTENG HEALTH CENTRE,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/3/2021,Renewal,Approved Credential,ERWAK-0410-2021-078,3/1/2021,3/1/2023
OTI,KRACHI WEST,KADENTWE CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/3/2021,New Application,Approved Credential,OTKRW-0210-2021-019,2/17/2021,8/31/2026
OTI,KRACHI WEST,AGLAKORPE CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/3/2021,New Application,Approved Credential,OTKRW-0210-2021-016,2/16/2021,10/1/2026
OTI,KRACHI WEST,KPATCHU CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/3/2021,Renewal,Approved Credential,OTKRW-0410-2021-014,2/16/2021,7/31/2023
EASTERN,AKUAPEM NORTH,ADDO-NKWANTA CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/3/2021,Renewal,Approved Credential,ERAKN-0410-2021-068,2/25/2021,4/1/2023
OTI,KRACHI WEST,MONKRA CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/3/2021,Renewal,Approved Credential,OTKRW-0410-2021-018,2/17/2021,9/30/2023
GT.ACCRA,GA,MAYERA FAASE HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,3/4/2021,Renewal,Approved Credential,GAGAD-0404-2021-019,2/22/2021,5/31/2023
ASHANTI,AMANSIE WEST,"WATRESO CHPS,",CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/4/2021,Renewal,Payment Submitted - Pending Verification,ARAMW-0410-2020-235,10/29/2020,11/30/2019
WESTERN,WASSA-WEST,REDEEMER HOSPITAL (WASSA WEST),Primary Care Hospital,Private,Both,3/4/2021,Renewal,Approved Credential,WRWSW-0403-2021-051,3/4/2021,1/1/2023
OTI,JASIKAN,TETEMAN CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/4/2021,Renewal,Approved Credential,OTJSK-0410-2021-021,3/4/2021,5/31/2023
VOLTA,HOHOE,LIKPE MATE CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/4/2021,Renewal,Payment Submitted - Pending Verification,VRHOH-0410-2021-031,3/4/2021,5/31/2021
VOLTA,HOHOE,AKPAFU MEMPEASEM HEALTH CENTRE,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/4/2021,Renewal,Payment Submitted - Pending Verification,VRHOH-0410-2021-032,3/4/2021,5/31/2021
GT.ACCRA,GA,DEDISAF HEALTHCARE,Maternity home,Private,National Health Insurance Scheme (NHIS) Only,3/4/2021,Renewal,Approved Credential,GAGAD-0405-2021-018,2/18/2021,6/1/2023
GT.ACCRA,GA,AKRAMAMAN CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/4/2021,Renewal,Approved Credential,GAGAD-0410-2021-025,2/25/2021,9/30/2023
ASHANTI,AMANSIE WEST,ABOABOSO CHPS COMPOUND (ASH),CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/4/2021,Renewal,Payment Submitted - Pending Verification,ARAMW-0410-2020-232,10/29/2020,9/30/2017
ASHANTI,AMANSIE WEST,TONTOKROM HEALTH CENTRE,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/4/2021,Renewal,Payment Submitted - Pending Verification,ARAMW-0410-2020-234,10/29/2020,9/30/2020
SAVANNAH,BOLE DMHIS,DAKURIPE CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/4/2021,Renewal,Approved Credential,SVBOL-0410-2021-014,2/25/2021,5/31/2023
ASHANTI,ADANSI NORTH MHIS,FUMSO HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,3/4/2021,Upgrade,Approved Credential,ARADN-0504-2021-028,3/1/2021,1/31/2022
GT.ACCRA,GA,ABOKOBI HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,3/4/2021,Renewal,Approved Credential,GAGAD-0404-2021-030,3/3/2021,7/31/2023
BONO,SUNYANI MUNICIPAL,NKRANKROM CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/4/2021,Renewal,Approved Credential,BNSNY-0410-2021-019,3/3/2021,6/1/2023
ASHANTI,AMANSIE WEST,AKYEREKYEREKROM CHPS ZONE,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/4/2021,Renewal,Payment Submitted - Pending Verification,ARAMW-0410-2021-048,3/4/2021,11/30/2019
VOLTA,HO,ANYIRAWASE,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/4/2021,New Application,Approved Credential,VRHOM-0210-2021-033,3/4/2021,5/1/2026
GT.ACCRA,GA,FINNEY HOSPITAL AND FERTILITY CENTRE-PHIS ONLY,Primary Care Hospital,Private,Private Health Insurance Scheme (PHIS) Only,3/5/2021,Renewal,Approved Credential,GAWJO-0403-2021-028,2/26/2021,5/31/2023
UP_WEST,SISSALA WEST MHIS,"GWOLLU HEALTH CENTRE,..,",CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/5/2021,Renewal,Approved Credential,UWSLW-0410-2021-030,3/1/2021,9/30/2023
UP_EAST,BONGO MHIS,BOKO CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/5/2021,Renewal,Approved Credential,UEBNG-0410-2021-043,3/3/2021,5/31/2023
UP_WEST,SISSALA WEST MHIS,TIMMIE CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/5/2021,Renewal,Approved Credential,UWSLW-0410-2021-038,3/2/2021,5/31/2023
UP_EAST,BONGO MHIS,KABRE CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/5/2021,Renewal,Approved Credential,UEBNG-0410-2021-041,3/2/2021,8/31/2023
UP_EAST,BONGO MHIS,FEO CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/5/2021,Renewal,Approved Credential,UEBNG-0410-2021-036,3/2/2021,8/31/2023
UP_EAST,BONGO MHIS,KADARE CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/5/2021,Renewal,Approved Credential,UEBNG-0410-2021-037,3/2/2021,9/30/2023
UP_EAST,BONGO MHIS,ABOKOBISI CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/5/2021,Renewal,Approved Credential,UEBNG-0410-2021-038,3/2/2021,8/31/2023
UP_EAST,BONGO MHIS,WAGLIGA CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/5/2021,Renewal,Approved Credential,UEBNG-0410-2021-035,3/2/2021,8/31/2023
UP_EAST,BONGO MHIS,DUA HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,3/5/2021,Renewal,Approved Credential,UEBNG-0404-2021-039,3/2/2021,7/31/2023
UP_EAST,BONGO MHIS,AYELBIA CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/5/2021,Renewal,Approved Credential,UEBNG-0410-2021-034,3/2/2021,8/31/2023
UP_WEST,SISSALA WEST MHIS,HIEL CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/5/2021,Renewal,Approved Credential,UWSLW-0410-2021-031,3/1/2021,6/1/2023
UP_WEST,SISSALA WEST MHIS,NIATOR CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/5/2021,Renewal,Approved Credential,UWSLW-0410-2021-032,3/1/2021,5/31/2023
UP_WEST,SISSALA WEST MHIS,WASSAI CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/5/2021,Renewal,Approved Credential,UWSLW-0410-2021-033,3/1/2021,5/31/2023
UP_WEST,SISSALA WEST MHIS,FIELMUO HEALTH CENTRE,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/5/2021,Renewal,Approved Credential,UWSLW-0404-2021-039,3/2/2021,5/31/2023
ASHANTI,ASANTE AKIM NORTH DMHIS,LIFELAND CLINIC LIMITED,Clinic with a specialist,Private,National Health Insurance Scheme (NHIS) Only,3/5/2021,Renewal,Approved Credential,ARAAN-0415-2021-061,3/5/2021,4/1/2023
CENTRAL,GOMOAMAN,GODFREY MEMORIAL MATERNITY HOME (GOMOA WEST),Maternity home,Private,National Health Insurance Scheme (NHIS) Only,3/5/2021,Renewal,Approved Credential,CRGOM-0405-2021-027,3/5/2021,5/31/2023
UP_WEST,SISSALA WEST MHIS,GBAL CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/5/2021,Renewal,Approved Credential,UWSLW-0410-2021-028,3/1/2021,5/31/2023
UP_WEST,SISSALA WEST MHIS,JAWIA CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/5/2021,Renewal,Approved Credential,UWSLW-0410-2021-027,3/1/2021,5/31/2023
OTI,KRACHI EAST,ADUMADUM CHPS ZONE,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/6/2021,Renewal,Approved Credential,OTKRE-0410-2021-022,3/6/2021,5/31/2023
AHAFO,ASUNAFO SOUTH,VICTORIA ANANE MATERNITY HOME,Maternity home,Private,National Health Insurance Scheme (NHIS) Only,3/6/2021,Additional service,Approved Credential,AFASS-0305-2021-008,3/6/2021,5/31/2021
NORTHERN,GUSHEGU,GAA CHPS ZONE,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/6/2021,Renewal,Payment Submitted - Pending Verification,NRGSG-0410-2021-026,3/6/2021,8/31/2021
OTI,KRACHI EAST,MATAMANU CHPS (KRACHI EAST),CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/7/2021,Renewal,Approved Credential,OTKRE-0410-2021-023,3/7/2021,2/28/2023
BONO_EAST,TECHIMAN MUNICIPAL,ARMS HOSPITAL LTD,Primary Care Hospital,Private,National Health Insurance Scheme (NHIS) Only,3/9/2021,Renewal,Approved Credential,BATEC-0403-2020-047,7/22/2020,11/30/2022
GT.ACCRA,TEMA MMHIS,APPOLONIA HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,3/9/2021,Renewal,Approved Credential,GATMM-0404-2021-023,2/25/2021,2/28/2023
UP_WEST,SISSALA EAST MHIS,TUMU DISTRICT HOSPITAL,Primary Care Hospital,Public,National Health Insurance Scheme (NHIS) Only,3/9/2021,Renewal,Pending Certificate,UWSLE-0403-2021-049,3/6/2021,5/31/2023
EASTERN,OKWAHUMAN HIS SOUTH,NTOMEM HEALTH CENTRE,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/9/2021,Renewal,Approved Credential,EROKS-0410-2021-023,1/28/2021,8/1/2023
GT.ACCRA,OKAIKOI,ACCRA INSTITUTE OF MEDICAL SERVICES LIMITED,Primary Care Hospital,Private,Private Health Insurance Scheme (PHIS) Only,3/9/2021,New Application,Approved Credential,GAOKA-0203-2021-034,3/5/2021,9/30/2026
UP_WEST,WA MUNICIPAL,CARE DIAGNOSTIC SERVICES (WA),Diagnostic,Private,National Health Insurance Scheme (NHIS) Only,3/10/2021,Renewal,Reject Credential,UWWAM-0409-2021-054,3/9/2021,12/1/2021
BONO,SUNYANI MUNICIPAL,SEVENTH DAY ADVENTIST  HOSPITAL (SUNYANI),Primary Care Hospital,Mission,National Health Insurance Scheme (NHIS) Only,3/10/2021,Renewal,Approved Credential,BNSSO-0403-2021-018,2/23/2021,6/30/2023
NORTHERN,YENDI DIST HIS,KUNI CHPS ZONE,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/10/2021,Renewal,Approved Credential,NRYEN-0410-2021-010,2/22/2021,5/31/2023
GT.ACCRA,DANGME WEST,DUFFOR HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,3/10/2021,Renewal,Approved Credential,GADGW-0404-2021-032,3/4/2021,8/31/2023
ASHANTI,ASOKWA SUB-METRO,ST ANNE'S CLINIC,Clinic,Private,National Health Insurance Scheme (NHIS) Only,3/10/2021,Renewal,Approved Credential,ARASM-0406-2021-065,3/9/2021,6/30/2023
ASHANTI,SEKYERE EAST,NKWANKWANUA HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,3/10/2021,Renewal,Approved Credential,ARSKE-0404-2021-056,3/4/2021,3/31/2023
UP_WEST,JIRAPA-LAMB MHIS,KOHUO,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/10/2021,New Application,After Assessment,UWJPL-0210-2020-056,8/7/2020,
GT.ACCRA,DANGME WEST,DANGME WEST HOSPITAL COMPLEX,Primary Care Hospital,Private,National Health Insurance Scheme (NHIS) Only,3/10/2021,Renewal,Approved Credential,GADGW-0403-2021-009,1/26/2021,6/11/2023
GT.ACCRA,DANGME WEST,AGORTO CHPS (DANGME WEST),CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/10/2021,Renewal,Approved Credential,GADGW-0410-2021-033,3/4/2021,8/31/2023
UP_EAST,BUILSA DMHIS,KOM CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/11/2021,Renewal,Approved Credential,UEBUI-0410-2021-020,2/23/2021,9/30/2023
UP_EAST,BUILSA DMHIS,SANWAASA CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/11/2021,Renewal,Approved Credential,UEBUI-0410-2021-021,2/24/2021,4/30/2023
UP_EAST,BUILSA DMHIS,ZUNDEMA CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/11/2021,Additional service,Approved Credential,UEBUI-0310-2021-019,2/23/2021,3/31/2023
OTI,JASIKAN,ODORMITOR CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/11/2021,Renewal,Payment Submitted - Pending Verification,OTJSK-0410-2021-027,3/11/2021,5/31/2021
ASHANTI,MANHYIA SUB-METRO,PIMA HOSPITAL,Primary Care Hospital,Private,National Health Insurance Scheme (NHIS) Only,3/11/2021,Renewal,Approved Credential,ARMSM-0403-2021-067,3/10/2021,11/1/2023
OTI,JASIKAN,ODUMASE CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/11/2021,Renewal,Payment Submitted - Pending Verification,OTJSK-0410-2021-026,3/11/2021,5/31/2021
GT.ACCRA,DANGME WEST,TOKPO CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/11/2021,Renewal,Approved Credential,GADGW-0410-2021-038,3/11/2021,5/31/2023
WESTERN_NORTH,BIA,COCOA CLINC (DEBISO),Primary Care Hospital,Quasi-public,National Health Insurance Scheme (NHIS) Only,3/11/2021,Renewal,Approved Credential,WNBIA-0403-2021-012,3/9/2021,9/1/2023
UP_EAST,BUILSA DMHIS,YIPALA CHPS (BUILSA),CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/11/2021,Renewal,Approved Credential,UEBUI-0410-2021-024,2/25/2021,4/30/2023
UP_EAST,BOLGA MHIS,AFRIKIDS MEDICAL CENTRE,Primary Care Hospital,Private,National Health Insurance Scheme (NHIS) Only,3/11/2021,Renewal,Approved Credential,UEBGT-0403-2021-033,3/2/2021,5/31/2023
UP_EAST,BUILSA DMHIS,ACHANYIRI-GOAYIE CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/11/2021,Renewal,Approved Credential,UEBUI-0410-2021-047,3/4/2021,7/31/2023
OTI,JASIKAN,NKONYA WURUPONG HEALTH CENTRE,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/11/2021,Upgrade,On Hold,OTJSK-0510-2021-025,3/11/2021,5/31/2021
NORTHERN,WEST MAMPRUSI DMHIS,WUGUM,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/12/2021,New Application,Approved Credential,NEWMP-0210-2020-026,7/11/2020,4/30/2026
GT.ACCRA,MADINA MHIS,PANTANG HOSPITAL,Primary Care Hospital,Public,National Health Insurance Scheme (NHIS) Only,3/12/2021,Renewal,Approved Credential,GAMAD-0403-2021-029,3/2/2021,3/31/2024
NORTHERN,GUSHEGU,KPANASHEI CHPS ZONE,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/12/2021,Renewal,Payment Submitted - Pending Verification,NRGSG-0410-2021-029,3/12/2021,8/31/2021
NORTH_EAST,WEST MAMPRUSI DMHIS,NASIA,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/12/2021,New Application,Approved Credential,NEWMP-0210-2021-007,3/11/2021,11/30/2026
NORTHERN,GUSHEGU,ZAMASHEGU CHPS ZONE,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/12/2021,Renewal,Payment Submitted - Pending Verification,NRGSG-0410-2021-030,3/12/2021,8/31/2021
NORTH_EAST,WEST MAMPRUSI DMHIS,GBEO  CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/12/2021,Renewal,Approved Credential,NEWMP-0410-2021-001,3/5/2021,6/30/2023
EASTERN,AKUAPEM NORTH,MAMPONG URBAN CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/12/2021,Renewal,Approved Credential,ERAKN-0410-2021-050,2/17/2021,8/1/2023
NORTH_EAST,WEST MAMPRUSI DMHIS,GBEO,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/12/2021,New Application,Pending Certificate,NEWMP-0210-2021-006,3/11/2021,4/30/2026
CENTRAL,ASSIN NORTH,JOY EMMANUEL HOSPITAL,Primary Care Hospital,Private,National Health Insurance Scheme (NHIS) Only,3/12/2021,Renewal,In Assessment,CRANS-0403-2021-037,3/11/2021,3/31/2021
ASHANTI,ATWIMA MPONOA,ANWIAFUTU HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,3/12/2021,New Application,Approved Credential,ARATM-0204-2021-042,3/3/2021,6/30/2026
NORTHERN,GUSHEGU,ZININDO CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/12/2021,Renewal,Approved Credential,NRGSG-0410-2021-031,3/12/2021,6/1/2023
NORTH_EAST,EAST MAMPRUSI DMHIS,WUNDUA CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/13/2021,Renewal,Approved Credential,NEEMP-0410-2021-002,3/5/2021,7/31/2023
NORTH_EAST,EAST MAMPRUSI DMHIS,GBINTIRI HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,3/13/2021,Renewal,Approved Credential,NEEMP-0404-2021-003,3/6/2021,6/30/2023
NORTHERN,GUSHEGU,GALWEI CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/14/2021,Renewal,Payment Submitted - Pending Verification,NRGSG-0410-2021-032,3/14/2021,6/30/2021
VOLTA,KPANDO,BOTOKU HEALTH CENTRE,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/14/2021,Renewal,Approved Credential,VRKPD-0410-2021-030,3/2/2021,7/1/2024
NORTHERN,GUSHEGU,GUSHEGU RCH,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/14/2021,Renewal,Payment Submitted - Pending Verification,NRGSG-0410-2021-033,3/14/2021,6/1/2021
EASTERN,OKWAHUMAN WEST,AMPEKROM CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/15/2021,Renewal,Approved Credential,EROKW-0410-2021-063,2/24/2021,4/1/2023
EASTERN,OKWAHUMAN WEST,ATIBIE NKWANTA CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/15/2021,Renewal,Approved Credential,EROKW-0410-2021-067,2/25/2021,4/1/2023
EASTERN,ATIWA DHIS,EHIAWANWU CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/15/2021,Renewal,Payment Submitted - Pending Verification,ERATW-0410-2020-151,7/15/2020,11/30/2023
EASTERN,OKWAHUMAN WEST,ESAASE CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/15/2021,Renewal,Approved Credential,EROKW-0410-2021-081,3/2/2021,4/1/2023
EASTERN,WEST AKIM,ASIKASU CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/15/2021,Renewal,Approved Credential,ERWAK-0410-2021-080,3/2/2021,4/1/2023
BONO_EAST,PRU,LABUN CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/15/2021,Renewal,Approved Credential,BEPRU-0410-2021-027,3/15/2021,4/1/2023
UP_EAST,TALENSI NABDAM,GOROGO HEALTH CENTRE,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/15/2021,Renewal,Approved Credential,UETNO-0410-2021-051,3/15/2021,5/31/2023
EASTERN,ATIWA DHIS,ANYINAM HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,3/15/2021,Renewal,Approved Credential,ERATW-0404-2021-029,1/29/2021,7/1/2023
GT.ACCRA,ADENTA,AMANFRO HEALTH CENTRE- ADENTA,Health Center,Public,National Health Insurance Scheme (NHIS) Only,3/15/2021,Renewal,Approved Credential,GAADO-0404-2021-039,3/15/2021,5/31/2023
ASHANTI,AMANSIE WEST,MANSO ANKAM CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/16/2021,Renewal,Approved Credential,ARAMW-0410-2021-044,3/3/2021,6/1/2023
BONO_EAST,SENE,DROBE CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/16/2021,Renewal,Approved Credential,BESNE-0410-2021-026,3/11/2021,7/1/2023
UP_EAST,BOLGA MHIS,NYARIGA HEALTH CENTRE,Health Center,Public,National Health Insurance Scheme (NHIS) Only,3/16/2021,Renewal,Approved Credential,UEBGT-0404-2021-040,3/2/2021,3/31/2023
ASHANTI,MANHYIA SUB-METRO,"METHODIST MEDICAL CENTRE, TAFO",Health Center,Mission,National Health Insurance Scheme (NHIS) Only,3/16/2021,Renewal,Approved Credential,ARMSM-0404-2021-027,3/1/2021,3/31/2023
UP_EAST,BOLGA MHIS,YIKENE CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/16/2021,Renewal,Approved Credential,UEBGT-0410-2021-042,3/2/2021,3/31/2023
GT.ACCRA,ASHAIMAN,OKANTA MEMORIAL CLINIC,Clinic,Private,National Health Insurance Scheme (NHIS) Only,3/16/2021,Renewal,Approved Credential,GAASH-0206-2021-041,3/16/2021,2/29/2024
EASTERN,AKUAPEM NORTH,GBOLOO-KOFI CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/16/2021,Renewal,Approved Credential,ERAKN-0410-2021-074,2/25/2021,6/1/2023
EASTERN,NEW JUABEN MHIS,NEW JUABEN EFFIDUASE CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/17/2021,New Application,Approved Credential,ERNJB-0210-2020-206,7/23/2020,11/30/2026
CENTRAL,AAK,ASUTECH CLINIC,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/17/2021,New Application,Reject Credential,CRAAK-0206-2021-022,2/22/2021,
UP_EAST,KASENA-NANKANA DMHIS,KATIU CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/17/2021,Renewal,Approved Credential,UEKSN-0410-2021-048,3/8/2021,6/30/2023
UP_EAST,KASENA-NANKANA DMHIS,KAJELO CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/17/2021,Renewal,Approved Credential,UEKSN-0410-2021-030,2/26/2021,3/31/2023
EASTERN,NEW JUABEN MHIS,ADANIAGYA CHPS,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/17/2021,New Application,Approved Credential,ERNJB-0210-2020-293,9/29/2020,11/30/2026
AHAFO,ASUTIFI DISTRICT,GAMBIA CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/17/2021,Renewal,Approved Credential,AFASF-0410-2021-011,3/12/2021,6/1/2023
UP_EAST,BUILSA DMHIS,JININGSA CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/17/2021,Renewal,Approved Credential,UEBUI-0410-2021-053,3/16/2021,3/31/2023
UP_EAST,KASENA-NANKANA DMHIS,NAVIO CHPS COMPOUND,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/17/2021,Renewal,Approved Credential,UEKSN-0410-2021-046,3/3/2021,7/31/2025
CENTRAL,AAK,AGGREY MEMORIAL CLINIC,CHPS Compound,Public,National Health Insurance Scheme (NHIS) Only,3/17/2021,New Application,Reject Credential,CRAAK-0206-2021-021,2/22/2021,
